report_id,bank_name,audit_date,wrong_practice_category,supervisory_finding,severity_level,action_taken
DKSH_2026_01,Bank_05,05-January-2026,KYC/AML Non-compliance,"A review of customer accounts at Bank_05 showed deficiencies in updating KYC documents for high-risk accounts. Accounts were frozen without the mandated 30-day notice, causing severe operational disruptions to customers and leading to a volume of ombudsman complaints.",Medium,Corrective Action Plan (CAP) issued. Bank directed to establish a dedicated compliance desk for KYC rectifications and avoid arbitrary account freezes.
DKSH_2026_02,Bank_10,08-January-2026,Compliance Deficiencies,"During routine supervision of Bank_10, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_03,Bank_09,21-February-2026,Inadequate Internal Controls,"Operational inspection of Bank_09's government business division revealed significant delays in pension credits. The bank did not integrate its core banking software with the Central Pension Accounting System properly, causing a backlog. Penal interest for delayed pension payments was not paid automatically to beneficiaries.",Medium,Supervisory warning letter issued. The bank is directed to run an automated batch process to calculate and credit delayed pension interest at 8% per annum for all accounts since Jan 2025.
DKSH_2026_04,Bank_01,14-March-2026,Cybersecurity Deficiencies,"An IT audit at Bank_01 revealed significant vulnerabilities in retail banking software. The multi-factor authentication (MFA) system failed to log transaction IP anomalies, and SMS alerts were delayed by an average of 45 minutes, violating circulars on fraud mitigation and enabling unauthorized fund transfers.",High,Supervisory Letter and Corrective Action Plan (CAP) mandated. Bank ordered to upgrade its authentication systems within 90 days and submit bi-weekly progress reports.
DKSH_2026_05,Bank_08,22-February-2026,Compliance Deficiencies,"During routine supervision of Bank_08, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_06,Bank_01,14-April-2026,Cybersecurity Deficiencies,"An IT audit at Bank_01 revealed significant vulnerabilities in retail banking software. The multi-factor authentication (MFA) system failed to log transaction IP anomalies, and SMS alerts were delayed by an average of 45 minutes, violating circulars on fraud mitigation and enabling unauthorized fund transfers.",High,Supervisory Letter and Corrective Action Plan (CAP) mandated. Bank ordered to upgrade its authentication systems within 90 days and submit bi-weekly progress reports.
DKSH_2026_07,Bank_08,25-March-2026,Compliance Deficiencies,"During routine supervision of Bank_08, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_08,Bank_06,21-January-2026,Compliance Deficiencies,"During routine supervision of Bank_06, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_09,Bank_02,18-January-2026,Fair Practices Code Violation,"Supervisory examination of Bank_02's credit card operations revealed systematic overcharging of fees. The bank failed to honor 'lifetime free' credit card promotions and charged annual fees, subsequently levying compound interest on these wrongful charges. Delay in resolving disputed transactions violated the regulatory turnaround time (TAT).",Medium,Advisory letter issued. Bank directed to auto-refund all wrongfully charged annual fees and interest to affected cardholders within 30 days.
DKSH_2026_10,Bank_03,27-February-2026,Fair Practices Code Violation,"Supervisory examination of Bank_03's credit card operations revealed systematic overcharging of fees. The bank failed to honor 'lifetime free' credit card promotions and charged annual fees, subsequently levying compound interest on these wrongful charges. Delay in resolving disputed transactions violated the regulatory turnaround time (TAT).",Medium,Advisory letter issued. Bank directed to auto-refund all wrongfully charged annual fees and interest to affected cardholders within 30 days.
DKSH_2026_11,Bank_01,26-April-2026,KYC/AML Non-compliance,"A review of customer accounts at Bank_01 showed deficiencies in updating KYC documents for high-risk accounts. Accounts were frozen without the mandated 30-day notice, causing severe operational disruptions to customers and leading to a volume of ombudsman complaints.",Medium,Corrective Action Plan (CAP) issued. Bank directed to establish a dedicated compliance desk for KYC rectifications and avoid arbitrary account freezes.
DKSH_2026_12,Bank_03,02-January-2026,Fair Practices Code Violation,"Supervisory examination of Bank_03's credit card operations revealed systematic overcharging of fees. The bank failed to honor 'lifetime free' credit card promotions and charged annual fees, subsequently levying compound interest on these wrongful charges. Delay in resolving disputed transactions violated the regulatory turnaround time (TAT).",Medium,Advisory letter issued. Bank directed to auto-refund all wrongfully charged annual fees and interest to affected cardholders within 30 days.
DKSH_2026_13,Bank_05,11-March-2026,Debt Recovery Violations,"During the inspection of Bank_05, it was observed that the bank failed to conduct due diligence on its outsourced collection agency. The recovery agents engaged by the bank systematically violated the Fair Practices Code, calling borrowers at odd hours, threatening family members, and performing unauthorized repossessions.",High,Monetary penalty of Rs. 55 Lakhs imposed. The bank is ordered to suspend operations with the recovery agency and audit all pending loan recovery files.
DKSH_2026_14,Bank_08,05-May-2026,Compliance Deficiencies,"During routine supervision of Bank_08, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_15,Bank_08,07-January-2026,Compliance Deficiencies,"During routine supervision of Bank_08, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_16,Bank_06,24-April-2026,Compliance Deficiencies,"During routine supervision of Bank_06, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_17,Bank_05,01-March-2026,Debt Recovery Violations,"During the inspection of Bank_05, it was observed that the bank failed to conduct due diligence on its outsourced collection agency. The recovery agents engaged by the bank systematically violated the Fair Practices Code, calling borrowers at odd hours, threatening family members, and performing unauthorized repossessions.",High,Monetary penalty of Rs. 55 Lakhs imposed. The bank is ordered to suspend operations with the recovery agency and audit all pending loan recovery files.
DKSH_2026_18,Bank_05,06-May-2026,Debt Recovery Violations,"During the inspection of Bank_05, it was observed that the bank failed to conduct due diligence on its outsourced collection agency. The recovery agents engaged by the bank systematically violated the Fair Practices Code, calling borrowers at odd hours, threatening family members, and performing unauthorized repossessions.",High,Monetary penalty of Rs. 55 Lakhs imposed. The bank is ordered to suspend operations with the recovery agency and audit all pending loan recovery files.
DKSH_2026_19,Bank_07,17-March-2026,Fair Practices Code Violation,"Supervisory examination of Bank_07's credit card operations revealed systematic overcharging of fees. The bank failed to honor 'lifetime free' credit card promotions and charged annual fees, subsequently levying compound interest on these wrongful charges. Delay in resolving disputed transactions violated the regulatory turnaround time (TAT).",Medium,Advisory letter issued. Bank directed to auto-refund all wrongfully charged annual fees and interest to affected cardholders within 30 days.
DKSH_2026_20,Bank_02,22-January-2026,Compliance Deficiencies,"During routine supervision of Bank_02, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_21,Bank_03,16-March-2026,Mis-selling Systemic Issues,"A thematic review of third-party product sales at Bank_03 revealed that branch managers were offering insurance policies as bundled products with loans and fixed deposits, violating RBI's tied-selling guidelines. Suitability tests and risk profiling of senior citizens were found to be completely neglected, leading to a high rate of CMS complaints.",High,Monetary penalty of Rs. 1.2 Crores imposed on the bank. Cease-and-desist order on selling insurance through branch channels until remediation plan is completed.
DKSH_2026_22,Bank_04,09-April-2026,Compliance Deficiencies,"During routine supervision of Bank_04, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_23,Bank_04,25-March-2026,Compliance Deficiencies,"During routine supervision of Bank_04, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_24,Bank_06,19-May-2026,Compliance Deficiencies,"During routine supervision of Bank_06, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_25,Bank_01,21-March-2026,KYC/AML Non-compliance,"A review of customer accounts at Bank_01 showed deficiencies in updating KYC documents for high-risk accounts. Accounts were frozen without the mandated 30-day notice, causing severe operational disruptions to customers and leading to a volume of ombudsman complaints.",Medium,Corrective Action Plan (CAP) issued. Bank directed to establish a dedicated compliance desk for KYC rectifications and avoid arbitrary account freezes.
DKSH_2026_26,Bank_04,22-January-2026,Compliance Deficiencies,"During routine supervision of Bank_04, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_27,Bank_08,06-April-2026,Compliance Deficiencies,"During routine supervision of Bank_08, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_28,Bank_09,23-January-2026,Compliance Deficiencies,"During routine supervision of Bank_09, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
DKSH_2026_29,Bank_05,20-February-2026,KYC/AML Non-compliance,"A review of customer accounts at Bank_05 showed deficiencies in updating KYC documents for high-risk accounts. Accounts were frozen without the mandated 30-day notice, causing severe operational disruptions to customers and leading to a volume of ombudsman complaints.",Medium,Corrective Action Plan (CAP) issued. Bank directed to establish a dedicated compliance desk for KYC rectifications and avoid arbitrary account freezes.
DKSH_2026_30,Bank_04,16-February-2026,Compliance Deficiencies,"During routine supervision of Bank_04, it was noted that the bank delayed submitting the mandatory fraud monitoring reports (FMR) to RBI within the stipulated timeline of 3 weeks from detection. In addition, the customer grievance redressal policy was not updated on the bank website.",Low,Advisory letter and warning issued. The bank must update the policy and streamline its FMR filing system.
