case_id,complaint_category,complaint,officer_name,officer_id,speaking_order,bank_name,resolution_status
CMS_2026_001,Credit Card Overcharging,"The bank charged me a late fee of Rs. 65,196 and high interest charges on 08-February-2026, even though I paid the total amount due on the due date. The payment was processed late by the bank's own gateway.",Mr. Suresh Kumar,OFF_101,"The complainant initiated payment before the cutoff time on the due date. The gateway delay is the bank's responsibility. The bank is directed to refund all late fees and interest of Rs. 65,196.",Bank_02,Allowed
CMS_2026_002,Credit Card Overcharging,"My credit card bill dated 01-May-2026 shows a charge of Rs. 158,815 for a transaction I never made. I reported the dispute, but the bank has charged me interest and late payment fees on this disputed amount.",Mr. David D'Souza,OFF_103,"As per RBI rules, disputed credit card transactions must not be charged interest while investigation is pending. The bank is directed to reverse Rs. 158,815 and all interest and fees.",Bank_02,Allowed
CMS_2026_003,Mis-selling of Financial Products,"I was sold a high-risk mutual fund with a lump sum investment of Rs. 111,785 by the bank relationship manager, who promised guaranteed returns of 15% per annum. The portfolio value has dropped, and I have lost my principal. This is mis-selling.",Mr. Suresh Kumar,OFF_101,"The bank staff made misleading statements regarding returns. The bank is ordered to refund the principal amount of Rs. 111,785 less current portfolio value, and pay Rs. 5,000 for service deficiency.",Bank_01,Allowed
CMS_2026_004,Loan Recovery Harassment,"The recovery team of the bank seized my vehicle on 26-January-2026 without giving the mandatory 14 days pre-possession notice. They also demanded Rs. 70,342 as recovery charges to release the vehicle.",Mr. David D'Souza,OFF_103,"The repossession was done without following due process and without adequate notice. The bank is directed to return the vehicle, waive the recovery charges of Rs. 70,342, and pay Rs. 20,000 as compensation.",Bank_06,Allowed
CMS_2026_005,Loan Recovery Harassment,"The recovery team of the bank seized my vehicle on 23-January-2026 without giving the mandatory 14 days pre-possession notice. They also demanded Rs. 51,407 as recovery charges to release the vehicle.",Ms. Ananya Rao,OFF_102,The bank proved that multiple notices were sent to the customer's registered address. The repossession was carried out legally under the loan agreement terms. Complaint dismissed.,Bank_10,Dismissed
CMS_2026_006,Credit Card Overcharging,"The bank charged me a late fee of Rs. 167,640 and high interest charges on 27-March-2026, even though I paid the total amount due on the due date. The payment was processed late by the bank's own gateway.",Mr. Suresh Kumar,OFF_101,"The payment was initiated after the banking hours cutoff on the due date, leading to next-day clearance. Late fee is as per terms. Complaint dismissed.",Bank_02,Dismissed
CMS_2026_007,Mis-selling of Financial Products,"I was sold a high-risk mutual fund with a lump sum investment of Rs. 192,136 by the bank relationship manager, who promised guaranteed returns of 15% per annum. The portfolio value has dropped, and I have lost my principal. This is mis-selling.",Ms. Ananya Rao,OFF_102,Mutual fund investments are subject to market risks. The customer signed the risk disclosure documents. No service deficiency established. Complaint dismissed.,Bank_10,Dismissed
CMS_2026_008,Unauthorized Electronic Transaction,"I noticed unauthorized online transactions amounting to Rs. 216,430 from my savings account on 02-March-2026. I immediately blocked my card and registered a complaint with the bank, but they refused to refund the amount, claiming customer negligence in safeguarding details. I did not share any OTP or password.",Mr. Rajesh Malhotra,OFF_105,Forensic logs submitted by the bank confirm the transactions were completed using the customer's registered mobile device and the second-factor authentication OTP was sent and entered successfully. The complaint is dismissed due to customer negligence.,Bank_06,Dismissed
CMS_2026_009,Mis-selling of Financial Products,"I was sold a high-risk mutual fund with a lump sum investment of Rs. 131,870 by the bank relationship manager, who promised guaranteed returns of 15% per annum. The portfolio value has dropped, and I have lost my principal. This is mis-selling.",Mr. Rajesh Malhotra,OFF_105,Mutual fund investments are subject to market risks. The customer signed the risk disclosure documents. No service deficiency established. Complaint dismissed.,Bank_06,Dismissed
CMS_2026_010,Credit Card Overcharging,"My credit card bill dated 12-February-2026 shows a charge of Rs. 105,700 for a transaction I never made. I reported the dispute, but the bank has charged me interest and late payment fees on this disputed amount.",Mr. Suresh Kumar,OFF_101,"As per RBI rules, disputed credit card transactions must not be charged interest while investigation is pending. The bank is directed to reverse Rs. 105,700 and all interest and fees.",Bank_05,Allowed
CMS_2026_011,Credit Card Overcharging,"I was charged Rs. 208,638 as an annual fee on my credit card on 22-April-2026, despite being promised a lifetime free card. The customer care executive is refusing to reverse it, saying the offer has expired.",Ms. Fatima Sheikh,OFF_104,"The card terms state that the annual fee is waived only if annual spend exceeds Rs. 1,00,000. The complainant's spend was lower. Complaint dismissed.",Bank_02,Dismissed
CMS_2026_012,Pension & Account Maintenance Issues,"The bank charged me Rs. 226,648 as penalty for non-maintenance of minimum balance on 01-January-2026, but they never sent me an alert or warning SMS that my balance had dropped below the threshold.",Mr. David D'Souza,OFF_103,"As per RBI regulations, banks must notify customers before levying charges for minimum balance non-maintenance. The bank is ordered to refund the penalty of Rs. 226,648.",Bank_09,Allowed
CMS_2026_013,Mis-selling of Financial Products,"The bank relationship manager forced me to buy a credit life insurance policy of Rs. 1,850 as a condition for approving my home loan on 24-March-2026. They said the loan would not be sanctioned without it. This is tied-selling and against RBI rules.",Mr. David D'Souza,OFF_103,The customer signed a separate consent form opting for the insurance coverage. No proof of coercion is found. Complaint dismissed.,Bank_07,Dismissed
CMS_2026_014,Mis-selling of Financial Products,"The bank relationship manager forced me to buy a credit life insurance policy of Rs. 200,887 as a condition for approving my home loan on 06-May-2026. They said the loan would not be sanctioned without it. This is tied-selling and against RBI rules.",Mr. Suresh Kumar,OFF_101,"Tied-selling of insurance is prohibited under RBI guidelines. The bank is directed to refund the premium of Rs. 200,887 and decouple the insurance from the loan.",Bank_09,Allowed
